"Combo","Frequency","Actions"
"2lk | 2lk > 5mp | 2lk > 5mp > 6hp | vs2 | exflashkick",2,"5"
"2lk | 2lk > 5mp | 2lk > 5mp > 6hp | vs2 | flashkick",1,"5"
"2lp | 2lp | boom | 2mp | boom | 3hk",1,"6"
"2lp | 2lp | exboom | vt1",1,"4"
"2lp | boom",14,"2"
"2lp | boom | 2hk",4,"3"
"2lp | boom | SUPER",3,"3"
"2lp | boom | vt1 | vt1 | SUPER",1,"5"
"2lp | boom | vt1a | 66 | 5hp | 2mp | flashkick",1,"7"
"2lp | exboom",1,"2"
"2lp | flashkick",1,"2"
"2mk | 2mk > 6mp",1,"2"
"2mp | 2lp | flashkick",1,"3"
"2mp | boom",2,"2"
"4lk | 2lp | exboom",1,"3"
"4lk | 2lp | flashkick",1,"3"
"5hk | 2lp",1,"2"
"5hk | 2lp | boom | vt1a | 66 | 5hp | 2mp | flashkick",2,"8"
"5hp | 2hk",1,"2"
"5lk | boom",1,"2"
"5lp | 2mp | boom | SUPER",1,"4"
"5lp | 5lp",1,"2"
"6hp | 66 | 5hp",1,"3"
"6hp | 66 | 5hp | 2mp | exboom",1,"5"
"6hp | 66 | 5mp | 5mp > 6hp | vs2 | flashkick",1,"6"
"6mk | 2lp | flashkick",1,"3"
"9hk | 2mp | boom",1,"3"
"9lk | 2lp | 2lp | flashkick",2,"4"
"boom | 2hk",2,"2"
"boom | vt1a | 66 | 5hp | 2mp | boom | vt1 | vt1 | vt1 | vt1 | 66 | 66 | 66 | 2lk | 2lk > 5mp | 2lk > 5mp > 6hp | vs2 | flashkick | SUPER",1,"19"
"flashkick | SUPER",2,"2"
